"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AGR3",147.263883844346,-3.77060368072816,0.353689235080973,-10.6607815752858,1.55286917131309e-26,7.48405297114344e-24
"CPN2",296.746073680307,-3.29504011754576,0.416706476781031,-7.90734078097187,2.62945108514561e-15,1.38309844527796e-13
"PAGE1",2.53225334080665,-3.18581902184399,0.958414964025594,-3.32404975029053,0.00088720367218066,0.00320650776008601
"C1orf87",36.6765938224219,-2.92212933970719,0.370635733278455,-7.88410041811003,3.16809449404905e-15,1.6389653409478e-13
"MUC2",11.0263034450923,-2.74682036540035,0.423750225845862,-6.48216849894847,9.04135820851831e-11,1.75767305301416e-09
"FKBP1BP1",1.46143459548689,-2.72568756350698,0.513491813990063,-5.30814219281736,1.10748233102263e-07,1.06937362271246e-06
"SLITRK1",10.0720228493364,-2.5836432703097,0.514685370959607,-5.01984982688087,5.17118904390008e-07,4.27304682333072e-06
"SOSTDC1",8778.08113927859,-2.55391550775582,0.313190880721334,-8.15450150359966,3.50623054521252e-16,2.21700727223935e-14
"AC021146.2",3.13372846472043,-2.54558088145995,0.384074200557953,-6.62783617791022,3.40643205387348e-11,7.24825575436788e-10
"AL606970.2",1.12365178715325,-2.4724396015637,0.310188649234545,-7.97076104385174,1.57700175430715e-15,8.64905827013748e-14
"AL136366.1",98.4690896433583,-2.45438446451367,0.193481138388318,-12.6853939611813,7.12546704065635e-37,1.83153004813031e-33
"AC254629.1",38.3350077912004,-2.38676455675228,0.21957286302246,-10.8700343198064,1.60140598604321e-27,9.35512260573967e-25
"KCNH7",20.0509194146043,-2.35260481216714,0.237628871426652,-9.90033238824396,4.1489380034336e-23,1.09566064150949e-20
"CAMKV",24.5612227467004,-2.32472382246011,0.306597440192696,-7.58233278464109,3.39396367200702e-14,1.42857711067579e-12
"CHL1-AS2",232.043450273679,-2.29063914309572,0.244816802549071,-9.35654382887626,8.23876029675765e-21,1.32909473640915e-18
"SORCS1",144.553950975464,-2.23148065818309,0.352283430838531,-6.33433327497564,2.38369769136163e-10,4.16617625512869e-09
"LINC00165",4.39095852136806,-2.16906394938837,0.678296633934376,-3.19781028074248,0.00138475350118836,0.00472232053704389
"RAD51AP2",13.0846415228072,-2.15296749990031,0.312609681126796,-6.88707877548763,5.69496900652332e-12,1.42581314945138e-10
"AL606970.4",1.16632747071581,-2.14739797910276,0.334659618343063,-6.41666296559699,1.39293829697596e-10,2.59826458530262e-09
"AC093496.1",54.1872871420543,-2.14701213635184,0.304090396471323,-7.0604404521348,1.65975661443776e-12,4.71233991356864e-11
