"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC00942",237.933656189267,5.55981499025477,0.3839940035801,14.4789109684496,1.64685747149959e-47,1.26992473342277e-43
"CPLX2",102.677801268624,5.51489797735745,0.468053370319559,11.7826263564606,4.79745646867685e-32,6.60609755736802e-29
"KRT20",89.2337209013574,4.75557537001251,0.37448826483141,12.6988635335567,5.99945875351815e-37,1.6522509407189e-33
"ZIC3",8.33553551842501,4.72390849558825,0.51259992540278,9.21558560875012,3.09583763452025e-20,4.55584411589935e-18
"UGT1A8",33.3550815252156,4.65417668148693,0.479128114817305,9.7138459162673,2.63213800267729e-22,5.9696889900721e-20
"LINC02511",95.5704000526617,4.41807313124632,0.399355958554363,11.0629953969872,1.89656016942905e-28,1.3057816766519e-25
"AL033397.1",141.828428659808,4.39786188312773,0.380216978846983,11.5667161852276,6.07640666504245e-31,6.50783153826046e-28
"S100A7",7.47596992627387,4.39765062173,0.507762593959036,8.66084007378611,4.68300157130771e-18,4.45821749588494e-16
"AC245041.2",8.14902659455977,4.33357056905751,0.519027333380159,8.34940722839235,6.86064091322652e-17,5.05772219981571e-15
"C6orf223",63.6589292549605,4.29594795383104,0.256523104490868,16.7468266157054,5.9728577195608e-63,2.30289502235386e-58
"GYG2P1",6.19983186321801,4.22179935756576,0.512238222671229,8.24186710540625,1.69543823833993e-16,1.1448216587992e-14
"LINC01788",5.19075455840183,4.21298845427034,0.487104701892172,8.64904082819333,5.19340809206691e-18,4.83664353617709e-16
"ASTN1",77.9797566036376,4.19186471462996,0.330660492807291,12.6772469218843,7.90602543037855e-37,1.90515447808547e-33
"EN1",48.2660153978346,4.1818986678106,0.374110296308005,11.1782506631885,5.21069664027234e-29,4.07017582000965e-26
"AL139280.1",3.4798701885097,4.16542868879905,0.526264590085763,7.91508447893147,2.47085262136811e-15,1.30860156139381e-13
"GPX2",474.63928755181,4.16517402793184,0.326405756886554,12.760724772938,2.71661616307081e-37,8.05706559871987e-34
"GLB1L3",14.8235748556227,4.16093474306771,0.309768077656858,13.4324194234015,3.90443460730993e-41,1.88174225899302e-37
"AC245041.1",3.24749480633995,4.13261703458596,0.708057815614293,5.83655309418568,5.32917855978325e-09,6.8742659267649e-08
"MAT1A",123.440594048674,4.11636126163799,0.340782192155895,12.0791560016578,1.3610962709009e-33,2.76202251688712e-30
"PYDC1",5.64933453174579,4.02210246844029,0.433521893708228,9.27773781858242,1.73114873578012e-20,2.68056910268025e-18
"LINC02506",3.05670455268094,4.01672178226452,0.573484368969681,7.00406497474542,2.48640711768312e-12,6.76064265369466e-11
"AC068299.1",3.87756638501119,4.00859283028608,0.443930833840762,9.02976888450142,1.72034742244052e-19,2.18909951219857e-17
"NMRK2",185.558375933372,4.00357797084309,0.363621920176751,11.010276742659,3.40954796802172e-28,2.22811070262789e-25
"AFAP1-AS1",152.355650577371,3.97106458510813,0.336192877135224,11.811864126767,3.38961644107504e-32,4.90612945609807e-29
"ADGRG7",12.8758175866511,3.95173412219849,0.404135683547177,9.77823608030193,1.39622581699133e-22,3.30263083435078e-20
"ALDH3B2",13.253987209366,3.93942996396232,0.384738980610027,10.2392275347721,1.32288330192075e-24,4.35940928109885e-22
"ZIC2",22.1807237738508,3.92099810509544,0.511171232037417,7.67061575329113,1.71172613313655e-14,7.69199449757725e-13
"UGT1A10",5.85287682547702,3.90938545955003,0.505885027104958,7.72781412789065,1.09408933894146e-14,5.0823745243647e-13
"CASP14",34.0983721203061,3.8620276531497,0.742480553212819,5.20152027745125,1.97664900930043e-07,1.79871794200112e-06
"ANKRD34B",46.7899525996421,3.85593804619911,0.359457237264658,10.7271120079301,7.59322693061659e-27,3.90352610049138e-24
"NR0B1",51.3447162439112,3.84338963937715,0.390392203104746,9.84494467054182,7.20788762784323e-23,1.81638768221649e-20
"LINC00410",6.64694014401809,3.74504993665458,0.458028368316193,8.17645848099355,2.92308182949295e-16,1.87524697201215e-14
"GATA4",9.33420397625124,3.7393083750945,0.366197683847752,10.2111742919956,1.76713064217617e-24,5.63086686278878e-22
"NCCRP1",38.6714887906648,3.73633610951042,0.254065392447796,14.7061985637345,5.88201562972139e-49,7.55956648731793e-45
"LINC02582",1.73327052080628,3.70562495751896,0.595151548311339,6.22635523344124,4.77410938101249e-10,7.74381831276052e-09
"MAGEA3",3.74204752678526,3.69143882976739,0.931057382182441,3.96478122660334,7.34632916192278e-05,0.000355478246946655
"AC018541.1",2.67589309830708,3.63324532144898,0.461193714901936,7.87791594736177,3.32886515327499e-15,1.71130299799561e-13
"SERTM2",19.7695610267895,3.61769824193768,0.339142423375637,10.6671946432685,1.44936304485427e-26,7.11904884340278e-24
"AC092720.2",1.5093943080485,3.60872201362832,0.761306338592669,4.74017071800468,2.13538221468412e-06,1.51651863454339e-05
"SST",1200.47506149171,3.58565318785614,0.413768559370039,8.66584255051974,4.48185993331411e-18,4.30929156081942e-16
"AC116345.1",23.4706774054557,3.54471653674748,0.376594127581644,9.41256455460528,4.84176498642162e-21,8.18767942177509e-19
"LINC00648",8.36407628031043,3.48257185725392,0.427303122925953,8.15012030196985,3.63562415437366e-16,2.27557020935115e-14
"SCNN1G",28.7075255915722,3.48133949541114,0.409435710474219,8.50277444382895,1.8511236311957e-17,1.5381879897496e-15
"FGG",201.247645455265,3.46862682794452,0.458986360337619,7.55714576222501,4.12010175430169e-14,1.70079917814621e-12
"AC087857.1",1.06425486515741,3.45451270885899,0.590927357887022,5.84591771349237,5.0378304911765e-09,6.52902831656475e-08
"NEB",504.894358479718,3.44581358011141,0.222627604476188,15.4779259661843,4.88984771667937e-54,9.42664842821449e-50
"FIBCD1",63.5922431733557,3.41864772306512,0.300662815761534,11.3703708734524,5.87374804580986e-30,5.14700521941466e-27
"MMP10",4.07069662261359,3.4149818699084,0.414343841863024,8.24190328147159,1.69492556848016e-16,1.1448216587992e-14
"AC093583.1",13.8822880909745,3.3966085909387,0.286880763851159,11.8397920632313,2.43054816608969e-32,3.90467562882309e-29
"LRFN2",2.44534294876736,3.38773284866749,0.415114212387248,8.16096569950049,3.32356549887564e-16,2.11109376235007e-14
"CRHR1",10.9012249057566,3.3748736184839,0.399174509738699,8.4546320873372,2.79968704684632e-17,2.23488061652602e-15
"SP9",0.964736208457712,3.37248439369781,0.821122066874963,4.10716570623033,4.00543879537986e-05,0.000206766231349131
"CXCL13",98.4671245992072,3.36918672989428,0.323796866350981,10.4052481046627,2.34644053740269e-25,8.69897705385559e-23
"LINC00482",22.1950003532751,3.36408004505427,0.251750845456245,13.3627358389109,9.98265447959563e-41,4.27656917905877e-37
"TMEM155",4.71649934966094,3.34756100238076,0.321191134299143,10.4223331371998,1.96083008451287e-25,7.48532324143348e-23
"ABCB5",70.6045639752906,3.34205937652386,0.37953045370908,8.80577393424569,1.29952734855474e-18,1.40743192277743e-16
"SMCO3",104.623695022002,3.33008465746002,0.23937668966963,13.9114826178604,5.3949415885343e-44,2.97153382696469e-40
"AL359764.1",1.33103718958728,3.30979533978397,0.528658459517017,6.26074411597955,3.83144776895765e-10,6.33470412435382e-09
"CDH12",6.58794628234362,3.29393561710974,0.362901760189191,9.07665924627238,1.11958452189374e-19,1.48339178096684e-17
"FAM230C",0.957381938897235,3.27156474645986,1.00974164058279,3.24000181330703,0.00119528939461468,0.00415297629077802
"DMRT3",2.41485150634752,3.25062112247007,0.490641905095499,6.62524152281157,3.46680866140318e-11,7.37265718417326e-10
"DPYSL5",69.2209415098351,3.21641500235836,0.327939463669069,9.80795347523075,1.04057471752023e-22,2.49195023656584e-20
"NR0B2",13.1184599355911,3.18672312461986,0.299234275072798,10.6495926104875,1.75129790694076e-26,8.33617803703802e-24
"IGF2BP3",82.8192505411902,3.1749899564077,0.306799058332936,10.3487604351191,4.2393889873573e-25,1.51346186848656e-22
"AC023301.1",8.51602719699556,3.16392624194063,0.356665520176102,8.87084975407337,7.2589837460676e-19,8.23168756804066e-17
"AKR1B15",180.832098723482,3.15900963128271,0.42964004869571,7.35268893314938,1.94258663885267e-13,6.73546496830966e-12
"GALNT17",54.5674311531445,3.14321742460842,0.311008442593376,10.1065340811921,5.16803048400618e-24,1.54464018094064e-21
"GPR87",23.7679584703152,3.14091301073278,0.406922602943039,7.71869880910117,1.17523242794295e-14,5.43312487910891e-13
"NTSR2",1.62975024516564,3.13315745815038,0.639752699572369,4.89745093728354,9.70878645377964e-07,7.51218082504371e-06
"LINC01612",2.19721619009345,3.11509690306749,0.66341659718962,4.69553658480016,2.65907768834189e-06,1.84427773613437e-05
"SLC6A3",11.2894670216685,3.08366259329009,0.299911154138253,10.2819203312078,8.50165492266542e-25,2.87534918594989e-22
"ANXA8",4.80287822052801,3.08342741805011,0.388046834879371,7.94601872995209,1.92601316721423e-15,1.04590653063538e-13
"RTL1",1.24812564932698,3.07830791927368,0.593661752634118,5.18528927561026,2.15679829731142e-07,1.94793898222392e-06
"IGLON5",35.878998135107,3.07563654937362,0.256253969141965,12.0022981875052,3.45565642149602e-33,6.34458518986669e-30
"TBL1Y",3.84435194850509,3.07199211207725,0.512316215688913,5.99628123803642,2.01887262610198e-09,2.85650102649496e-08
"MAGEA1",0.857692242804824,3.04040210770184,0.817245122247279,3.72030621527759,0.000198981371320043,0.000858829704759383
"VAX1",1.20564863196744,3.03764198517342,0.446958655815582,6.79624825618495,1.07378682643582e-11,2.52290828032051e-10
"MMP13",3.85565968975473,3.03751926074514,0.524121272814705,5.79545120241477,6.81377386934582e-09,8.55738974939731e-08
"MAGEA12",1.28140141615769,3.01910148827787,0.678058921443377,4.45256509840051,8.48505033482965e-06,5.2060725765387e-05
"AC099786.2",0.786040385218577,3.01744515780779,0.822262096324935,3.66968776901444,0.000242846904220134,0.00102230957339615
"TBX20",2.13853480937006,3.01400208644899,0.501562029230642,6.00923098399662,1.86405389361346e-09,2.65009077884073e-08
