	0
HNF4A	0.47641221322892274
AANAT	0.4043429998522106
NME1	0.38496755313782033
BIRC5	0.3771128002995125
TK1	0.37522823029185637
HOXB1	0.37399536907549313
DLX4	0.3674986113314058
CACNA1G	0.36577496352332195
GCGR	0.36316778587092674
CDK3	0.3608682538277041
FOXJ1	0.35888925400553456
SCN4A	0.35805073223394984
HOXB13	0.3567328788611273
SOX9	0.35523539661139686
SSTR2	0.35445368219416973
CD300A	0.35431071873904696
ABCC3	0.34919698697822293
TSPAN10	0.34915575154639755
MET	0.3490001786085497
ITGB4	0.3483378436440471
SPHK1	0.3467753978604231
TUBB3	0.3463603570054981
CD300C	0.3458225899847622
BRIP1	0.34379697080101307
SLC16A3	0.3398979590456403
KIF2B	0.33984836109628946
PYCR1	0.3393634979655423
LGALS3BP	0.3393217422048492
GIP	0.33905616673309236
MPO	0.3388652731867713
GH2	0.3360980330414242
B3GNTL1	0.3352943674174001
ITGA3	0.33512963836898463
CCDC57	0.33436576209840124
CACNG5	0.33357997413705387
CA4	0.33219178747959927
APOH	0.3319894005886139
CACNG4	0.3310232453547906
SGCA	0.33071975108143775
NME2	0.32921055470308636
EME1	0.3266432863355336
CPNE7	0.3265012098964423
FDXR	0.3252541063691344
CD300LF	0.32509949564166435
ACSF2	0.32394985713040486
RPL38	0.3238184416760173
LRRC46	0.32307220911105433
TBX2	0.32286861034694964
HOXB6	0.3220777618165062
KCNH6	0.31983625351027245
NXPH3	0.3188225368687636
BTBD17	0.31835246269973233
CARD14	0.31833778577695065
CA10	0.3175397463710328
RNF213	0.3157591415853793
DCXR	0.31532052688388396
CD300LB	0.31519330494576575
EPN3	0.3138534291401317
B4GALNT2	0.31370846940201136
PRR11	0.31329899140323786
WNT9B	0.3121484602436744
CCDC40	0.31197281776656643
VMP1	0.31128392677879124
TBX4	0.3112320651600871
C17orf64	0.3097353877573824
RHBDF2	0.30819385477739153
PPP1R27	0.3058277720174086
NPTX1	0.3054962980332533
UNC13D	0.3047186755401522
SLC16A5	0.30345401912188635
MYO15B	0.3024630211864531
ZNF750	0.30228990584825155
AATK	0.3021945972236253
FADS6	0.3012202695384502
NOTUM	0.29933932602285745
TMEM92	0.29920961621194503
TEX19	0.29915565445658154
TMC8	0.2987010599903533
FBF1	0.29817625788762187
ZACN	0.2977257086572453
CDK5RAP3	0.2967163862292125
ENPP7	0.29515389067068715
SMIM5	0.29415994048063543
MILR1	0.2941073238685931
DLX3	0.2938491028119058
NARF	0.29363108517467135
EFCAB13	0.29313777547471437
OTOP2	0.2929775819301587
USH1G	0.2928097009282159
POLG2	0.29226497428097675
RBFOX3	0.2916850912115924
LRRC45	0.2912930685280023
SLC16A6	0.2901492295238086
ARHGAP27	0.2870257027994863
ATP2C2	0.27711705642692
CAV2	0.27690016903955755
TES	0.2760171227557945
NTSR2	0.27536900331705094
CDT1	0.2676698094826462
PLCG2	0.26402446863584145
FANCA	0.2586000212446167
EHHADH	0.25843232031280244
GINS2	0.2565264601433269
DNAAF1	0.2556221567112483
MC1R	0.2553159019647216
PNLDC1	0.25500248199687686
CYBA	0.25245284261763784
KNG1	0.2514209981118349
ZNF716	0.24986530178519722
CDH15	0.2476824612649329
ADAD2	0.24620072984082936
AGTR1	0.24494481349597333
SLC2A5	0.2435902557358812
DPEP1	0.24357118514985596
CDH13	0.24245222624887997
INS	0.23858440205383205
FOXC2	0.2359984924556489
XDH	0.23099430465393817
SST	0.23098252868730595
CDK10	0.2267661354484485
HRG	0.22341546839393348
PLK1	0.22312921151019802
TNFSF10	0.22098164172083243
JPH3	0.2201320714692338
SLC6A7	0.21863049522834765
TP63	0.21767774922271843
OSGIN1	0.21707242715696323
PRDM7	0.2158719197667735
DBNDD1	0.2121209881789587
C16orf74	0.20818048230268324
PKD1L2	0.20805272417600829
MUC4	0.20797241489156845
EPHB3	0.207926807974591
VAT1L	0.20766091030484535
CLEC3A	0.20598472246552074
ADIPOQ	0.2037851934183249
ASB15	0.20354834118918136
PRDM8	0.20198268154961785
MME	0.1993905499216348
ALB	0.19621827396285552
MECOM	0.19239951133997663
FN1	0.19152946540610505
SPATA16	0.19013094164006378
CPN2	0.18595123036871394
BCHE	0.18261743432077107
CAMK2B	0.1805993002123873
P2RY13	0.17995919419243933
ZBBX	0.17953266437791945
MTNR1A	0.17838089257425024
PLOD2	0.17656543341394204
ACTRT3	0.17643100674369097
AADAC	0.17433582676877243
APOD	0.17425991665848525
ZIC1	0.17381805248726756
F2	0.171261845655429
MASP1	0.16987769767310826
MUC20	0.16833678169543928
P2RY14	0.167931959862292
