"","x"
"1","UMOD"
"2",NA
"3",NA
"4","LINC02121"
"5","TMEM207"
"6",NA
"7",NA
"8","CALB1"
"9","GP2"
"10","CPNE6"
"11","HMX2"
"12","AQP2"
"13","SOST"
"14","ATP12A"
"15","SIRLNT"
"16","ASB15"
"17","MUC15"
"18","CRYAA2"
"19","AFM"
"20","UNCX"
"21","MT1H"
"22",NA
"23","NPHS2"
"24","OLFM3"
"25","HEPACAM2"
"26","PLG"
"27","SLC14A2"
"28",NA
"29","SLC12A1"
"30",NA
"31","CST9"
"32","C4orf54"
"33","FRMD7"
"34","DDN"
"35",NA
"36","CALCA"
"37","INSRR"
"38","HCRTR2"
"39","MT1G"
"40","LINC02499"
"41","LOC100506444"
"42","PRDM16-DT"
"43","NELL1"
"44","SEMG2"
"45","ALDOB"
"46",NA
"47","CRYAA"
"48","ALB"
"49",NA
"50",NA
"51","HELT"
"52",NA
"53","RALYL"
"54","PLGLA"
"55","CYP2B6"
"56",NA
"57","C10orf71"
"58","AQP6"
"59","NPHS1"
"60","DUSP9"
"61",NA
"62","TMEM238L"
"63","TFAP2B"
"64","EGF"
"65",NA
"66",NA
"67",NA
"68","SCNN1G"
"69","SLC36A2"
"70","KNG1"
"71",NA
"72","CRHBP"
"73","LY6L"
"74","SLC4A1"
"75","LINC01020"
"76","HRG"
"77",NA
"78","LOC644090"
"79","RDH8"
"80","SLC22A8"
"81","ESRRB"
"82",NA
"83",NA
"84","GPC5"
"85","KCNJ10"
"86","BMPR1B-DT"
"87","PCARE"
"88","CLCNKA"
"89","FRG2B"
"90","IRX1"
"91","SLC34A3"
"92","WNT9B"
"93","FABP1"
"94","FRG2C"
"95","CYP4F2"
"96","XPNPEP2"
"97",NA
"98","SCNN1B"
"99","RANBP3L"
"100","SFRP1"
"101","SLC9A4"
"102",NA
"103","FAM151A"
"104","PRR35"
"105",NA
"106",NA
"107","ACP3"
"108",NA
"109",NA
"110",NA
"111","LINC01758"
"112","NOS1"
"113",NA
"114",NA
"115",NA
"116",NA
"117",NA
"118","TRPV5"
"119",NA
"120","RASL11B"
"121",NA
