"","x"
"1","NKX2-4"
"2","IGFN1"
"3","CCL18"
"4","LINC02577"
"5","CHRNA1"
"6","VSTM2A"
"7","CHIT1"
"8","VSTM2A-OT1"
"9","HS3ST2"
"10","PAEP"
"11","LINC01234"
"12","PLPPR5"
"13","APOC1"
"14","TNNI3"
"15","AKR1B10"
"16",NA
"17",NA
"18","MUC12"
"19","LINC01748"
"20",NA
"21","ALOX15B"
"22",NA
"23","CPLX2"
"24",NA
"25","CA9"
"26","PAQR9-AS1"
"27","REG3A"
"28","CNTN6"
"29","TNFAIP6"
"30","LOC101926964"
"31","MAGEC2"
"32","HTRA4"
"33",NA
"34","CD70"
"35","LINC01693"
"36",NA
"37","NKX2-8"
"38","CRB3P1"
"39","SIGLEC8"
"40",NA
"41","XKR3"
"42","LRIT2"
"43",NA
"44","CST1"
"45",NA
"46","KRT20"
"47","HAMP"
"48","ITGAD"
"49","LINC02099"
"50",NA
"51",NA
"52","HOXB13"
"53","VSTM2L"
"54","MNX1-AS1"
"55",NA
"56","MUC12-AS1"
"57","BIRC7"
"58","AKR1B15"
"59",NA
"60","FABP6"
"61",NA
"62","TCN1"
"63",NA
"64","DNASE2B"
"65","SCEL"
"66",NA
"67","LINC00460"
"68","PAQR9"
"69","SLC1A6"
"70","CXCL5"
"71","PKD2L1"
"72","CPNE7"
"73","TERT"
"74","CDHR1"
"75",NA
"76","MTND1P23"
"77","LOC105375431"
"78","APOC1P1"
"79","EEF1A2"
"80",NA
"81","TBX15"
"82","MAGEA3"
"83","DNAJC5B"
"84","CST2"
"85",NA
"86","DOC2A"
"87","SCN10A"
"88","MEP1A"
"89","TREM2"
"90","WFDC5"
"91","TNNT1"
"92",NA
"93",NA
"94",NA
"95","EEF1DP5"
"96",NA
"97","CDKN2A"
"98","LOC101928335"
"99","KRT25"
"100","TRPM8"
"101",NA
"102",NA
"103","WFDC12"
"104","HRK"
"105","B3GALT1-AS1"
"106","HS3ST4"
"107","LINC00462"
"108",NA
"109","LOC117779438"
"110",NA
"111","MNX1-AS2"
"112","NTSR2"
"113",NA
"114","EREG"
"115","MNX1"
"116","ELSPBP1"
"117","LUCAT1"
"118",NA
"119","MUC2"
"120",NA
"121","LINC00165"
"122",NA
"123","LOC153910"
"124","LCN2"
"125","LINC01736"
"126","HTR3A"
"127",NA
"128","SDS"
"129","XKR7"
"130","CEROX1"
"131","CST4"
"132",NA
"133","LINC02783"
"134","KCNV1"
"135",NA
"136","LHFPL5"
"137",NA
"138",NA
"139","DLL3"
"140","AHNAK2"
"141",NA
"142","ADAM18"
