,sil_val,cluster
TCGA-2K-A9WE,0.9776883404678595,2
TCGA-2Z-A9J1,0.9781691574405028,2
TCGA-2Z-A9J2,0.9765578741953388,2
TCGA-2Z-A9J3,0.9783337589376643,2
TCGA-2Z-A9J5,0.9768071924831103,2
TCGA-2Z-A9J6,0.9767274184943591,2
TCGA-2Z-A9J7,0.978177766612613,2
TCGA-2Z-A9J8,0.9864868564303304,1
TCGA-2Z-A9JD,0.9772153743037845,2
TCGA-2Z-A9JE,0.9767024282904866,2
TCGA-2Z-A9JG,0.9863894249498447,1
TCGA-2Z-A9JI,0.9860811554651229,1
TCGA-2Z-A9JJ,0.9873055713253194,1
TCGA-2Z-A9JK,0.9884012618542735,1
TCGA-2Z-A9JL,0.7523265832443702,1
TCGA-2Z-A9JM,0.9776898884240959,2
TCGA-2Z-A9JP,0.9788567850576304,2
TCGA-2Z-A9JQ,0.9768937125338402,2
TCGA-2Z-A9JR,0.9655904927851212,2
TCGA-2Z-A9JS,0.9784557777316528,2
TCGA-2Z-A9JT,0.9761545023065267,2
TCGA-4A-A93W,0.9766986572271352,2
TCGA-4A-A93X,0.9872172248091475,1
TCGA-5P-A9JU,0.9888964882906583,1
TCGA-5P-A9JV,0.9871920907043624,1
TCGA-5P-A9JW,0.9864057323394738,1
TCGA-5P-A9JY,0.9768994245283641,2
TCGA-5P-A9JZ,0.9764270826826085,2
TCGA-5P-A9K0,0.976488490171079,2
TCGA-5P-A9K2,0.9781222663327734,2
TCGA-5P-A9K3,0.9863762513483475,1
TCGA-5P-A9K4,0.9764923709620947,2
TCGA-5P-A9K6,0.9786870651200762,2
TCGA-5P-A9K8,0.9871325935962293,1
TCGA-5P-A9K9,0.9882024570676957,1
TCGA-5P-A9KA,0.02550425805642651,2
TCGA-5P-A9KC,0.16729331421628174,2
TCGA-5P-A9KE,0.9762519362303443,2
TCGA-5P-A9KH,0.8970516751246793,1
TCGA-A4-7286,0.9864367187657995,1
TCGA-A4-7287,0.9866127527227622,1
TCGA-A4-7288,0.9772870706264016,2
TCGA-A4-7583,0.9865984460331226,1
TCGA-A4-7584,0.9773485788891788,2
TCGA-A4-7585,0.9779695865771157,2
TCGA-A4-7732,0.9764423506052147,2
TCGA-A4-7734,0.9770846192577776,2
TCGA-A4-7915,0.9770945321502653,2
TCGA-A4-7996,0.9776227329670992,2
TCGA-A4-7997,0.9882284696511963,1
TCGA-A4-8098,0.9859033295147202,1
TCGA-A4-8310,0.9758370711798474,2
TCGA-A4-8311,0.9777606358765248,2
TCGA-A4-8515,0.9772740040158947,2
TCGA-A4-8516,0.9783255657634958,2
TCGA-A4-8517,0.976513844673194,2
TCGA-A4-8518,0.9771552995854339,2
TCGA-A4-8630,0.9768754370004428,2
TCGA-A4-A48D,0.9885206471066647,1
TCGA-A4-A4ZT,0.9758049267045243,2
TCGA-A4-A57E,0.9631916876899234,1
TCGA-A4-A5DU,0.9785236835135667,2
TCGA-A4-A5XZ,0.9774717378725323,2
TCGA-A4-A5Y0,0.9765365941899071,2
TCGA-A4-A5Y1,0.9859255323540208,1
TCGA-A4-A6HP,0.9779903359030008,2
TCGA-A4-A772,0.9767037059293182,2
TCGA-A4-A7UZ,0.9760099822549091,2
TCGA-AL-3466,0.9865304307645355,1
TCGA-AL-3468,0.9775659582225626,2
TCGA-AL-3471,0.9781330478082038,2
TCGA-AL-3472,0.9769100453825385,2
TCGA-AL-3473,0.9868511674115537,1
TCGA-AL-7173,0.9878131032141658,1
TCGA-AL-A5DJ,0.9880987304276272,1
TCGA-AT-A5NU,0.9771512538372654,2
TCGA-B1-5398,0.9875560814834832,1
TCGA-B1-7332,0.9862786639229626,1
TCGA-B1-A47M,0.9768788760562217,2
TCGA-B1-A47N,0.9769780133495523,2
TCGA-B1-A47O,0.9782154607743463,2
TCGA-B1-A654,0.9769834254443992,2
TCGA-B1-A655,0.9781404039946796,2
TCGA-B1-A656,0.9893954607224367,1
TCGA-B1-A657,0.9783096530854538,2
TCGA-B3-3925,0.9767692942826904,2
TCGA-B3-3926,0.9865989112566966,1
TCGA-B3-4103,0.9772113802118507,2
TCGA-B3-4104,0.9768937646361927,2
TCGA-B3-8121,0.9775739906464831,2
TCGA-B3-A6W5,0.9764245292747179,2
TCGA-B9-4113,0.9754883991705631,2
TCGA-B9-4114,0.9799703577110417,2
TCGA-B9-4115,0.9767354522012515,2
TCGA-B9-4116,0.986289530700257,1
TCGA-B9-4117,0.9865890879664054,1
TCGA-B9-4617,0.9769469397026875,2
TCGA-B9-5155,0.9763266496060998,2
TCGA-B9-5156,0.9756931097751559,2
TCGA-B9-7268,0.9772737090267785,2
TCGA-B9-A44B,0.9868670402479593,1
TCGA-B9-A5W7,0.9769478810617852,2
TCGA-B9-A5W8,0.9872646994250299,1
TCGA-B9-A5W9,0.978328078270784,2
TCGA-B9-A69E,0.9884627978226598,1
TCGA-B9-A8YH,0.977034566165788,2
TCGA-B9-A8YI,0.9872120087096872,1
TCGA-BQ-5875,0.4271045443158543,2
TCGA-BQ-5876,0.9881852170736554,1
TCGA-BQ-5877,0.9744695895136618,1
TCGA-BQ-5878,0.9869185304831599,1
TCGA-BQ-5879,0.9874642896799277,1
TCGA-BQ-5880,0.9775433886842393,2
TCGA-BQ-5881,0.9783579669597415,2
TCGA-BQ-5882,0.9860753550613319,1
TCGA-BQ-5884,0.9182004182076109,1
TCGA-BQ-5885,0.9862408388258145,1
TCGA-BQ-5886,0.9769485303031404,2
TCGA-BQ-5887,0.9762102327758599,2
TCGA-BQ-5888,0.988065803317194,1
TCGA-BQ-5889,0.9860546550357203,1
TCGA-BQ-5890,0.8395078645620324,1
