,"CC Hard, k=3"
TCGA-2K-A9WE,3
TCGA-2Z-A9J1,1
TCGA-2Z-A9J2,1
TCGA-2Z-A9J3,1
TCGA-2Z-A9J5,2
TCGA-2Z-A9J6,1
TCGA-2Z-A9J7,1
TCGA-2Z-A9J8,3
TCGA-2Z-A9JD,1
TCGA-2Z-A9JE,1
TCGA-2Z-A9JG,3
TCGA-2Z-A9JI,3
TCGA-2Z-A9JJ,3
TCGA-2Z-A9JK,3
TCGA-2Z-A9JL,3
TCGA-2Z-A9JM,1
TCGA-2Z-A9JP,1
TCGA-2Z-A9JQ,1
TCGA-2Z-A9JR,3
TCGA-2Z-A9JS,1
TCGA-2Z-A9JT,1
TCGA-4A-A93W,1
TCGA-4A-A93X,3
TCGA-5P-A9JU,3
TCGA-5P-A9JV,2
TCGA-5P-A9JW,3
TCGA-5P-A9JY,1
TCGA-5P-A9JZ,1
TCGA-5P-A9K0,1
TCGA-5P-A9K2,1
TCGA-5P-A9K3,3
TCGA-5P-A9K4,1
TCGA-5P-A9K6,1
TCGA-5P-A9K8,3
TCGA-5P-A9K9,3
TCGA-5P-A9KA,1
TCGA-5P-A9KC,1
TCGA-5P-A9KE,1
TCGA-5P-A9KH,2
TCGA-A4-7286,3
TCGA-A4-7287,3
TCGA-A4-7288,1
TCGA-A4-7583,3
TCGA-A4-7584,1
TCGA-A4-7585,3
TCGA-A4-7732,1
TCGA-A4-7734,1
TCGA-A4-7915,1
TCGA-A4-7996,1
TCGA-A4-7997,3
TCGA-A4-8098,3
TCGA-A4-8310,1
TCGA-A4-8311,1
TCGA-A4-8515,1
TCGA-A4-8516,3
TCGA-A4-8517,1
TCGA-A4-8518,1
TCGA-A4-8630,1
TCGA-A4-A48D,3
TCGA-A4-A4ZT,2
TCGA-A4-A57E,3
TCGA-A4-A5DU,2
TCGA-A4-A5XZ,2
TCGA-A4-A5Y0,2
TCGA-A4-A5Y1,3
TCGA-A4-A6HP,1
TCGA-A4-A772,1
TCGA-A4-A7UZ,1
TCGA-AL-3466,3
TCGA-AL-3468,1
TCGA-AL-3471,2
TCGA-AL-3472,1
TCGA-AL-3473,3
TCGA-AL-7173,3
TCGA-AL-A5DJ,3
TCGA-AT-A5NU,2
TCGA-B1-5398,3
TCGA-B1-7332,3
TCGA-B1-A47M,1
TCGA-B1-A47N,1
TCGA-B1-A47O,1
TCGA-B1-A654,1
TCGA-B1-A655,3
TCGA-B1-A656,3
TCGA-B1-A657,2
TCGA-B3-3925,1
TCGA-B3-3926,3
TCGA-B3-4103,1
TCGA-B3-4104,3
TCGA-B3-8121,1
TCGA-B3-A6W5,2
TCGA-B9-4113,1
TCGA-B9-4114,1
TCGA-B9-4115,1
TCGA-B9-4116,3
TCGA-B9-4117,3
TCGA-B9-4617,1
TCGA-B9-5155,1
TCGA-B9-5156,1
TCGA-B9-7268,1
TCGA-B9-A44B,3
TCGA-B9-A5W7,1
TCGA-B9-A5W8,3
TCGA-B9-A5W9,3
TCGA-B9-A69E,3
TCGA-B9-A8YH,1
TCGA-B9-A8YI,3
TCGA-BQ-5875,2
TCGA-BQ-5876,3
TCGA-BQ-5877,3
TCGA-BQ-5878,2
TCGA-BQ-5879,3
TCGA-BQ-5880,3
TCGA-BQ-5881,1
TCGA-BQ-5882,3
TCGA-BQ-5884,3
TCGA-BQ-5885,3
TCGA-BQ-5886,1
TCGA-BQ-5887,3
TCGA-BQ-5888,3
TCGA-BQ-5889,3
TCGA-BQ-5890,3
TCGA-BQ-5891,3
TCGA-BQ-5892,3
TCGA-BQ-5893,2
TCGA-BQ-5894,3
TCGA-BQ-7044,3
TCGA-BQ-7045,1
TCGA-BQ-7046,2
TCGA-BQ-7048,3
TCGA-BQ-7051,1
TCGA-BQ-7053,1
TCGA-BQ-7055,3
TCGA-BQ-7056,3
TCGA-BQ-7058,1
TCGA-BQ-7059,3
TCGA-BQ-7060,1
TCGA-BQ-7061,3
TCGA-BQ-7062,1
TCGA-DW-5560,1
TCGA-DW-5561,2
TCGA-DW-7834,1
TCGA-DW-7836,1
TCGA-DW-7837,1
TCGA-DW-7838,3
TCGA-DW-7839,1
TCGA-DW-7840,1
TCGA-DW-7841,1
TCGA-DW-7842,1
TCGA-DW-7963,1
TCGA-DZ-6131,3
TCGA-DZ-6132,3
TCGA-DZ-6133,2
TCGA-DZ-6134,1
TCGA-DZ-6135,1
TCGA-EV-5901,1
TCGA-EV-5902,3
TCGA-EV-5903,1
TCGA-F9-A4JJ,3
TCGA-F9-A7Q0,3
TCGA-F9-A7VF,1
TCGA-F9-A8NY,2
TCGA-F9-A97G,3
TCGA-G7-6789,3
TCGA-G7-6790,2
TCGA-G7-6792,2
TCGA-G7-6793,3
TCGA-G7-6795,2
TCGA-G7-6796,3
TCGA-G7-6797,3
TCGA-G7-7501,3
TCGA-G7-7502,3
TCGA-G7-A4TM,1
TCGA-G7-A8LB,1
TCGA-G7-A8LC,3
TCGA-G7-A8LD,3
TCGA-G7-A8LE,1
TCGA-GL-6846,1
TCGA-GL-7773,3
TCGA-GL-7966,3
TCGA-GL-8500,3
TCGA-GL-A4EM,3
TCGA-GL-A59R,1
TCGA-GL-A59T,2
TCGA-GL-A9DC,1
TCGA-GL-A9DD,1
TCGA-GL-A9DE,3
TCGA-HE-7128,3
TCGA-HE-7129,1
TCGA-HE-7130,3
TCGA-HE-A5NF,2
TCGA-HE-A5NH,1
TCGA-HE-A5NI,2
TCGA-HE-A5NJ,1
TCGA-HE-A5NK,3
TCGA-HE-A5NL,1
TCGA-IA-A40U,3
TCGA-IA-A40X,3
TCGA-IA-A40Y,3
TCGA-IA-A83S,1
TCGA-IA-A83T,1
TCGA-IA-A83V,1
TCGA-IA-A83W,1
TCGA-IZ-8195,1
TCGA-IZ-8196,1
TCGA-IZ-A6M8,1
TCGA-IZ-A6M9,1
TCGA-J7-6720,1
TCGA-J7-8537,3
TCGA-J7-A8I2,1
TCGA-KV-A6GD,3
TCGA-KV-A6GE,2
TCGA-KV-A74V,2
TCGA-MH-A55W,2
TCGA-MH-A55Z,1
TCGA-MH-A560,1
TCGA-MH-A561,1
TCGA-MH-A562,1
TCGA-MH-A854,3
TCGA-MH-A855,2
TCGA-O9-A75Z,1
TCGA-P4-A5E6,3
TCGA-P4-A5E7,1
TCGA-P4-A5E8,2
TCGA-P4-A5EA,3
TCGA-P4-A5EB,3
TCGA-P4-AAVK,3
TCGA-P4-AAVL,1
TCGA-P4-AAVM,1
TCGA-P4-AAVO,3
TCGA-PJ-A5Z8,3
TCGA-PJ-A5Z9,2
TCGA-Q2-A5QZ,3
TCGA-SX-A71R,1
TCGA-SX-A71S,1
TCGA-SX-A71U,1
TCGA-SX-A71V,2
TCGA-SX-A7SL,1
TCGA-SX-A7SM,3
TCGA-SX-A7SN,1
TCGA-SX-A7SP,1
TCGA-SX-A7SQ,3
TCGA-SX-A7SR,1
TCGA-SX-A7SS,1
TCGA-SX-A7SU,1
TCGA-UN-AAZ9,3
TCGA-UZ-A9PJ,1
TCGA-UZ-A9PK,2
TCGA-UZ-A9PL,1
TCGA-UZ-A9PM,1
TCGA-UZ-A9PN,3
TCGA-UZ-A9PO,1
TCGA-UZ-A9PP,1
TCGA-UZ-A9PQ,3
TCGA-UZ-A9PR,1
TCGA-UZ-A9PS,1
TCGA-UZ-A9PU,1
TCGA-UZ-A9PV,1
TCGA-UZ-A9PX,1
TCGA-UZ-A9PZ,1
TCGA-UZ-A9Q0,1
TCGA-UZ-A9Q1,1
TCGA-V9-A7HT,2
TCGA-WN-A9G9,3
TCGA-WN-AB4C,1
TCGA-Y8-A894,3
TCGA-Y8-A895,1
TCGA-Y8-A896,3
TCGA-Y8-A897,3
TCGA-Y8-A898,1
TCGA-Y8-A8RY,1
TCGA-Y8-A8RZ,3
TCGA-Y8-A8S0,1
