,sil_val,cluster
TCGA-2K-A9WE,0.9939800517882635,1
TCGA-2Z-A9J1,0.9940651722061895,1
TCGA-2Z-A9J2,0.9942513895635025,1
TCGA-2Z-A9J3,0.9939853865723237,1
TCGA-2Z-A9J5,0.99393765761546,1
TCGA-2Z-A9J6,0.9941100673383302,1
TCGA-2Z-A9J7,0.9941831215722923,1
TCGA-2Z-A9J8,0.9716919756870886,2
TCGA-2Z-A9JD,0.9938123631743773,1
TCGA-2Z-A9JE,0.9939724087701679,1
TCGA-2Z-A9JG,0.97085519903989,2
TCGA-2Z-A9JI,0.9689124482287083,2
TCGA-2Z-A9JJ,0.9734749102776182,2
TCGA-2Z-A9JK,0.970542856634611,2
TCGA-2Z-A9JL,0.9732618091917453,2
TCGA-2Z-A9JM,0.9936495443431492,1
TCGA-2Z-A9JP,0.993782745404932,1
TCGA-2Z-A9JQ,0.9937621030452398,1
TCGA-2Z-A9JR,0.9939558253713212,1
TCGA-2Z-A9JS,0.9940191717032455,1
TCGA-2Z-A9JT,0.9937593627393287,1
TCGA-4A-A93W,0.9939141096166254,1
TCGA-4A-A93X,0.9725773501612096,2
TCGA-5P-A9JU,0.9722726408514758,2
TCGA-5P-A9JV,0.9730267193875307,2
TCGA-5P-A9JW,0.6160399245833079,2
TCGA-5P-A9JY,0.9938284735263173,1
TCGA-5P-A9JZ,0.9937829256362757,1
TCGA-5P-A9K0,0.9936934094038311,1
TCGA-5P-A9K2,0.9941344137745266,1
TCGA-5P-A9K3,0.9703224162162101,2
TCGA-5P-A9K4,0.9940828516112096,1
TCGA-5P-A9K6,0.993619968245437,1
TCGA-5P-A9K8,0.9689205193224505,2
TCGA-5P-A9K9,0.9703311051762721,2
TCGA-5P-A9KA,0.6553549961442476,2
TCGA-5P-A9KC,0.7079575937282906,2
TCGA-5P-A9KE,0.9938344343750147,1
TCGA-5P-A9KH,0.4261960345316867,2
TCGA-A4-7286,0.9699509850831906,2
TCGA-A4-7287,0.97153865233163,2
TCGA-A4-7288,0.9938648290183308,1
TCGA-A4-7583,0.9687440402718264,2
TCGA-A4-7584,0.9940925538980474,1
TCGA-A4-7585,0.9940615573104111,1
TCGA-A4-7732,0.9936570819349188,1
TCGA-A4-7734,0.9938976876894955,1
TCGA-A4-7915,0.9938574866320891,1
TCGA-A4-7996,0.9938096547455461,1
TCGA-A4-7997,0.9722813454231505,2
TCGA-A4-8098,0.9700783175456891,2
TCGA-A4-8310,0.9939182399507531,1
TCGA-A4-8311,0.9939769594893179,1
TCGA-A4-8515,0.994076162477675,1
TCGA-A4-8516,0.9939734686275082,1
TCGA-A4-8517,0.993861103655952,1
TCGA-A4-8518,0.9942260796580544,1
TCGA-A4-8630,0.9941939599798044,1
TCGA-A4-A48D,0.9721846395506629,2
TCGA-A4-A4ZT,0.9941929655136863,1
TCGA-A4-A57E,0.8064355900890048,2
TCGA-A4-A5DU,0.9935716302601747,1
TCGA-A4-A5XZ,0.9941021925511928,1
TCGA-A4-A5Y0,0.9939515035899815,1
TCGA-A4-A5Y1,0.9700144301025153,2
TCGA-A4-A6HP,0.9939124599730688,1
TCGA-A4-A772,0.9939948144957307,1
TCGA-A4-A7UZ,0.9940118352101907,1
TCGA-AL-3466,0.9726188739091166,2
TCGA-AL-3468,0.9940724042402578,1
TCGA-AL-3471,0.9938645501675929,1
TCGA-AL-3472,0.9936712331036208,1
TCGA-AL-3473,0.9704317970875341,2
TCGA-AL-7173,0.9710333544059607,2
TCGA-AL-A5DJ,0.9692934683893379,2
TCGA-AT-A5NU,0.994047511108495,1
TCGA-B1-5398,0.9726685907763998,2
TCGA-B1-7332,0.9719409885191044,2
TCGA-B1-A47M,0.9943151174668694,1
TCGA-B1-A47N,0.9940207444470267,1
TCGA-B1-A47O,0.9936864933266502,1
TCGA-B1-A654,0.9938633398013631,1
TCGA-B1-A655,0.9582472008556915,1
TCGA-B1-A656,0.9727301154227525,2
TCGA-B1-A657,0.9943786568862785,1
TCGA-B3-3925,0.9935932758664273,1
TCGA-B3-3926,0.9689243010732598,2
TCGA-B3-4103,0.9939704678365463,1
TCGA-B3-4104,0.9937998837414749,1
TCGA-B3-8121,0.9937914469994267,1
TCGA-B3-A6W5,0.9940369413576631,1
TCGA-B9-4113,0.9938949970110967,1
TCGA-B9-4114,0.9941295599338049,1
TCGA-B9-4115,0.9938043304097524,1
TCGA-B9-4116,0.9687700658124883,2
TCGA-B9-4117,0.9288960451573021,2
TCGA-B9-4617,0.9940542746559549,1
TCGA-B9-5155,0.9943083995163868,1
TCGA-B9-5156,0.9941426949094915,1
TCGA-B9-7268,0.9940676811521246,1
TCGA-B9-A44B,0.9711234509148031,2
TCGA-B9-A5W7,0.99420351796804,1
TCGA-B9-A5W8,0.9682081162134061,2
TCGA-B9-A5W9,0.9938155366342006,1
TCGA-B9-A69E,0.9714595918807621,2
TCGA-B9-A8YH,0.9943932439152838,1
TCGA-B9-A8YI,0.97232542049916,2
TCGA-BQ-5875,0.9941885950027368,1
TCGA-BQ-5876,0.9702011491782999,2
TCGA-BQ-5877,0.7694623153598744,1
TCGA-BQ-5878,0.9728500015012616,2
TCGA-BQ-5879,0.9709271939030705,2
TCGA-BQ-5880,0.9877306931965505,1
TCGA-BQ-5881,0.9938109581488945,1
TCGA-BQ-5882,0.9719488093038229,2
TCGA-BQ-5884,0.9740741299904964,2
TCGA-BQ-5885,0.9701670525940256,2
TCGA-BQ-5886,0.9939466893165877,1
TCGA-BQ-5887,0.9939160374682785,1
TCGA-BQ-5888,0.9700446250316723,2
TCGA-BQ-5889,0.9702370717104692,2
TCGA-BQ-5890,0.5882550442752416,1
TCGA-BQ-5891,0.5412259753237231,2
TCGA-BQ-5892,0.9715949298348904,2
TCGA-BQ-5893,0.9940449800917858,1
TCGA-BQ-5894,0.9700168746910446,2
TCGA-BQ-7044,0.971556515391854,2
TCGA-BQ-7045,0.9942618337925574,1
TCGA-BQ-7046,0.9938468083736928,1
TCGA-BQ-7048,0.9709931052134378,2
TCGA-BQ-7051,0.9940634124735768,1
TCGA-BQ-7053,0.9936633951535245,1
TCGA-BQ-7055,0.9713635318069251,2
TCGA-BQ-7056,0.9721529077194694,2
TCGA-BQ-7058,0.9939071399648715,1
TCGA-BQ-7059,0.973693045611869,2
TCGA-BQ-7060,0.9941453979094347,1
TCGA-BQ-7061,0.9714446803759674,2
TCGA-BQ-7062,0.9941869608304886,1
TCGA-DW-5560,0.9939631904328208,1
TCGA-DW-5561,0.9941250539640548,1
TCGA-DW-7834,0.9939551091651163,1
TCGA-DW-7836,0.9942245185666598,1
TCGA-DW-7837,0.9941725662931312,1
TCGA-DW-7838,0.9938357167205243,1
TCGA-DW-7839,0.9937763163083093,1
TCGA-DW-7840,0.9939680763326073,1
